"city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","hasParkingSpace","hasBalcony","hasElevator","priceInZloty","priceInEuro"
"krakow",57,2,1,2015,0.37,0.142,"yes","yes","yes",4800,1104
"krakow",44,2,3,1968,1.27,0.312,"no","no","no",2500,575
"krakow",37,2,2,2018,4.69,0.475,"no","no","no",2300,529
"krakow",66,3,1,2020,3.55,0.478,"yes","yes","yes",3500,805
"krakow",47,2,1,1960,3.38,0.37,"yes","yes","no",2000,460
"krakow",38,2,1,2022,3.29,0.477,"yes","yes","yes",3200,736
"krakow",25.3,1,3,1960,2.28,0.201,"yes","yes","yes",2000,460
"krakow",60,3,1,1955,1.3,0.109,"yes","no","no",3500,805
"krakow",40,2,4,2018,5.3,0.54,"yes","yes","yes",2600,598
"krakow",51,2,2,1960,7.47,0.134,"yes","no","no",2400,552
"krakow",37,2,1,1970,5.79,1.121,"no","no","no",2299,528.77
"krakow",73,3,2,2008,4.73,1.143,"yes","yes","yes",3300,759
"krakow",36,2,10,1970,4.27,0.119,"no","no","yes",2150,494.5
"krakow",39,2,5,2019,2.92,0.327,"yes","yes","yes",2500,575
"krakow",38.3,2,3,1990,3.23,0.594,"no","no","no",2000,460
"krakow",34,2,5,2019,3.23,1.187,"yes","no","yes",2600,598
"krakow",48,3,8,1980,3.58,0.175,"yes","yes","yes",2500,575
"krakow",45,3,2,1980,2.32,0.233,"no","no","no",2400,552
"krakow",51.5,2,3,2011,1.42,0.45,"yes","no","yes",3600,828
"krakow",31,1,3,1960,2.32,0.233,"no","yes","no",2000,460
"krakow",47.06,2,4,1975,6.73,0.127,"no","no","no",2200,506
"krakow",41,2,2,2024,3.77,0.412,"yes","yes","yes",2700,621
"krakow",45.8,2,2,2021,8.64,1.036,"yes","no","yes",2250,517.5
"krakow",48,2,1,1938,3.38,0.039,"yes","yes","no",2800,644
"krakow",33,2,1,2019,5.58,0.178,"no","yes","yes",2100,483
"krakow",48,2,1,1960,1.52,0.144,"no","no","no",2800,644
"krakow",45,2,4,2010,4.47,0.495,"no","yes","yes",2300,529
"krakow",45,2,2,1972,2.85,0.118,"no","yes","no",2300,529
"krakow",80,3,1,2018,3.36,0.505,"yes","yes","yes",6000,1380
"krakow",85.4,3,3,1997,1.36,0.162,"no","yes","no",4000,920
"krakow",48,2,1,2020,3.88,0.09,"yes","yes","yes",2400,552
"krakow",60,2,1,2014,3.59,0.132,"yes","yes","yes",4000,920
"krakow",37,2,4,2021,1.82,0.19,"no","yes","yes",3000,690
"krakow",50,2,3,2023,2.93,0.077,"yes","yes","yes",3500,805
"krakow",47,2,2,2017,4.04,0.396,"yes","no","yes",2200,506
"krakow",43,2,1,2023,3.11,0.826,"no","yes","yes",3300,759
"krakow",55,2,2,2013,1.31,0.208,"no","no","yes",3200,736
"krakow",27.5,1,2,2017,1.78,0.216,"no","yes","yes",2500,575
"krakow",48,2,1,2008,3.52,0.234,"yes","yes","no",2500,575
"krakow",45.5,2,4,2020,3.67,0.761,"yes","yes","yes",2700,621
"krakow",36,2,1,2006,3.88,0.319,"yes","yes","no",2050,471.5
"krakow",58,2,2,1900,0.77,0.046,"no","no","no",3000,690
"krakow",48,2,2,2015,1.83,0.133,"yes","yes","yes",3500,805
"krakow",52,4,2,2023,4.9,0.581,"yes","yes","yes",3290,756.7
"krakow",34,2,10,1980,1.62,0.114,"no","yes","no",1900,437
"krakow",38,2,1,1960,0.49,0.151,"yes","yes","no",2800,644
"krakow",33,1,2,2020,3.98,0.282,"yes","yes","yes",2600,598
"krakow",25,1,2,1960,0.62,0.167,"no","no","no",1800,414
"krakow",45,2,2,2001,1.39,0.055,"no","no","yes",2490,572.7
"krakow",40,2,2,1920,1.6,0.231,"no","no","no",2300,529
"krakow",54,3,1,2022,1.49,0.258,"yes","yes","yes",5000,1150
"krakow",50,2,3,2015,3.22,0.435,"yes","no","no",2200,506
"krakow",55,2,2,1920,1.66,0.08,"no","no","no",2500,575
"krakow",55,3,2,1980,3.83,0.218,"yes","no","no",2800,644
"krakow",60,3,1,1920,1.76,0.217,"no","no","no",3000,690
"krakow",38,2,1,2015,0.49,0.24,"no","no","yes",3800,874
"krakow",44,2,3,1930,1.82,0.062,"no","yes","no",1900,437
"krakow",30,2,1,2000,2.63,0.202,"no","yes","no",2500,575
"krakow",146.2,5,3,2014,5.48,0.783,"yes","yes","yes",9500,2185
"krakow",40,2,4,2018,4.9,0.581,"yes","yes","yes",2499,574.77
"krakow",52,3,1,2021,7.51,0.432,"yes","no","yes",2999,689.77
"krakow",28,1,1,2017,2.03,0.111,"no","no","yes",2500,575
"krakow",46,3,1,2021,5.11,0.97,"yes","no","no",2500,575
"krakow",50,2,2,1930,1.45,0.05,"no","yes","no",3500,805
"krakow",27,1,3,2022,5.13,0.827,"yes","yes","yes",2300,529
"krakow",35,2,2,1920,0.72,0.241,"yes","no","no",3500,805
"krakow",48.38,2,8,2019,2.48,0.439,"yes","yes","yes",3300,759
"krakow",48,2,4,2017,4.54,0.387,"yes","yes","yes",2650,609.5
"krakow",108,5,2,2010,0.87,0.136,"yes","yes","yes",6900,1587
"krakow",42,2,3,1930,2.25,0.576,"no","no","no",3000,690
"krakow",25,1,2,1980,4.59,0.328,"yes","no","no",1900,437
"krakow",50,2,2,2003,5.12,0.363,"no","yes","no",2200,506
"krakow",37,2,3,2023,2.56,0.774,"yes","yes","yes",3000,690
"krakow",52,2,4,2018,1.69,0.14,"yes","yes","yes",3500,805
"krakow",40,2,1,2022,3.7,0.417,"no","yes","yes",2900,667
"krakow",42,2,4,2013,4.1,0.373,"no","yes","yes",2600,598
"krakow",50,2,6,2022,2.14,0.444,"yes","yes","yes",3500,805
"krakow",35,2,1,2018,2.14,0.444,"yes","yes","yes",3200,736
"krakow",39,2,1,2016,2.27,0.152,"yes","yes","yes",2700,621
"krakow",46,2,1,2015,0.49,0.24,"yes","yes","yes",5000,1150
"krakow",43,2,4,2021,3.86,0.67,"no","yes","yes",3200,736
"krakow",75,3,2,2019,5.17,0.014,"yes","yes","no",4100,943
"krakow",43,2,4,2019,3.31,0.341,"no","yes","yes",2800,644
"krakow",40,2,3,1961,3.71,0.148,"yes","yes","no",2500,575
"krakow",100,3,2,2017,1.81,0.241,"no","yes","no",4990,1147.7
"krakow",72,4,5,2017,2.92,0.952,"no","no","yes",4500,1035
"krakow",59.5,2,2,2002,5.43,0.564,"no","yes","no",2600,598
"krakow",94,4,2,2003,4.95,0.295,"yes","yes","yes",7000,1610
"krakow",77,3,1,2012,4.68,0.563,"yes","yes","no",4000,920
"krakow",27,1,2,1966,0.62,0.167,"no","no","no",2100,483
"krakow",104,3,7,2010,4.9,0.581,"yes","no","yes",5000,1150
"krakow",67,3,5,2022,1.8,0.203,"yes","no","yes",5000,1150
"krakow",78,3,2,2021,6.12,0.813,"yes","no","no",3300,759
"krakow",85,3,4,2011,3.02,0.504,"yes","yes","yes",3700,851
"krakow",40,2,1,1998,3.8,0.301,"no","yes","no",1900,437
"krakow",43,2,4,2022,2.14,0.444,"yes","yes","yes",3900,897
"krakow",44,2,8,2008,4.41,0.391,"yes","no","yes",2749,632.27
"krakow",30,1,3,2016,0.62,0.167,"no","yes","yes",2700,621
"krakow",41.6,2,2,2010,1.18,0.188,"no","no","yes",2700,621
"krakow",57,3,1,2020,3.28,0.456,"no","yes","yes",3600,828
"krakow",50,2,3,2010,2.3,0.612,"no","no","yes",2600,598
"krakow",45,2,3,2023,5.89,1.282,"yes","yes","yes",3800,874
"krakow",47,2,10,1975,7.07,0.223,"no","no","yes",2400,552
"krakow",54.5,2,2,2012,7.33,0.399,"yes","yes","no",3000,690
"krakow",52,2,3,2022,1.76,0.386,"no","no","yes",4300,989
"krakow",40,2,2,2013,3.82,0.326,"yes","yes","yes",2100,483
"krakow",32,1,2,2019,3.24,0.475,"no","yes","yes",2300,529
"krakow",36,2,3,2023,2.56,0.774,"yes","yes","yes",3000,690
"krakow",52,3,3,2004,3.6,0.342,"yes","yes","yes",2650,609.5
"krakow",50,2,1,2009,1.79,0.168,"no","no","yes",3500,805
"krakow",29,1,1,2019,1.24,0.114,"no","no","yes",3000,690
"krakow",72,3,3,2010,7.19,0.112,"no","yes","no",3000,690
"krakow",60,3,1,2010,1.31,0.148,"yes","yes","yes",3500,805
"krakow",54,3,3,2000,2.71,0.617,"yes","yes","yes",3300,759
"krakow",42,2,4,2021,4.9,0.581,"no","yes","yes",3200,736
"krakow",60,3,7,2021,2.58,0.373,"yes","yes","yes",4200,966
"krakow",56,3,5,2019,0.72,0.301,"yes","yes","yes",3600,828
"krakow",39,2,6,2018,2.66,0.27,"no","yes","yes",2850,655.5
"krakow",32,2,1,1980,4.25,0.035,"no","no","no",2500,575
