"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"1919","krakow","87",4,2,2021,"1,04","0,117","0,595","0,147","0,105","yes","yes","yes","no",6500,"1495"
"1920","krakow","45",2,1,NA,"5,79","0,563","2,311","1,994","1,481","yes","yes","no","yes",2600,"598"
"1921","krakow","26,54",1,3,1938,"0,88","0,3","0,274","0,729","0,1","no","no","yes","no",2190,"503,7"
"1922","krakow","85",3,NA,2010,"4,75","0,582","1,63","1,478","0,456","yes","no","no","no",3600,"828"
"1923","krakow","72",3,1,2010,"5,15","0,683","0,309","0,247","0,29","no","yes","yes","no",4200,"966"
"1924","krakow","43",2,1,2020,"3,86","0,39","0,272","0,352","0,115","no","no","yes","no",2800,"644"
"1925","krakow","46",2,3,1970,"9,85","0,424","1,552","0,194","0,072","no","yes","no","no",2400,"552"
"1926","krakow","68",3,NA,2018,"6,58","1,126","2,424","1,454","1,094","no","yes","no","no",3600,"828"
"1927","krakow","90,6",4,NA,1988,"3,78","0,333","0,897","0,301","0,28","no","yes","no","yes",3800,"874"
"1928","krakow","87",4,2,2022,"7,21","0,233","0,986","0,283","0,256","yes","yes","yes","no",7000,"1610"
"1929","krakow","33",2,1,2009,"5,72","0,48","2,129","0,324","0,094","no","yes","no","no",1900,"437"
"1930","krakow","50",2,3,1965,"9,86","0,227","1,748","0,058","0,125","no","yes","no","yes",2300,"529"
"1931","krakow","35",2,1,2016,"0,47","0,127","0,534","0,443","0,276","no","no","yes","no",3000,"690"
"1932","krakow","46",2,3,1960,"2,42","0,266","0,338","0,139","0,149","no","yes","no","no",2800,"644"
"1933","krakow","67",3,5,2008,"5,59","1,135","1,834","0,899","0,93","yes","yes","yes","yes",5000,"1150"
"1934","krakow","47",2,2,2007,"3,52","0,234","0,209","0,117","0,123","yes","yes","no","no",2200,"506"
"1935","krakow","35",2,4,2011,"2,81","0,852","1,292","0,746","0,601","yes","yes","yes","no",2900,"667"
"1936","krakow","111,21",5,5,NA,"0,34","0,164","0,682","0,21","0,271","no","yes","yes","no",6500,"1495"
"1937","krakow","33",2,2,2021,"3,58","0,548","0,958","0,292","0,135","yes","yes","yes","no",3000,"690"
"1938","krakow","107,74",5,1,2010,"1,24","0,343","0,459","0,057","0,42","yes","no","yes","no",9200,"2116"
"1939","krakow","25",1,1,NA,"4,83","0,939","1,613","0,191","0,534","no","no","yes","no",2300,"529"
"1940","krakow","38",2,6,2022,"4,96","0,203","1,13","0,881","0,668","yes","yes","yes","no",3000,"690"
"1941","krakow","56",2,3,2001,"5,45","0,372","1,218","0,35","0,136","yes","no","no","no",2500,"575"
"1942","krakow","44",2,3,NA,"1,79","0,168","0,412","0,456","0,222","no","no","yes","no",3600,"828"
"1943","krakow","25",1,3,NA,"4,83","0,939","1,613","0,191","0,534","no","no","yes","no",2300,"529"
"1944","krakow","25",1,4,NA,"0,37","0,119","0,627","0,343","0,376","no","no","no","no",2100,"483"
"1945","krakow","50",2,2,2000,"3,18","0,733","0,412","0,125","0,119","yes","yes","no","no",2500,"575"
"1946","krakow","33",2,2,2021,"3,58","0,548","0,958","0,292","0,135","yes","yes","yes","no",3000,"690"
"1947","krakow","57",2,2,1900,"0,66","0,229","0,346","0,211","0,221","no","no","no","no",2900,"667"
"1948","krakow","90",4,1,NA,"3,51","0,35","0,537","0,672","0,862","yes","no","no","no",4000,"920"
"1949","krakow","56",4,2,1960,"4,47","0,309","0,682","0,382","0,28","no","yes","yes","yes",4000,"920"
"1950","krakow","38",2,3,NA,"3,81","0,15","1,34","0,177","0,026","no","no","no","yes",2200,"506"
"1951","krakow","32",1,2,NA,"1,14","0,217","0,403","0,623","0,055","no","no","no","no",2500,"575"
"1952","krakow","34",2,NA,1936,"2,67","0,197","0,428","0,221","0,306","yes","no","yes","no",2460,"565,8"
"1953","krakow","56,9",2,2,2022,"0,89","0,164","0,688","0,521","0,226","yes","no","yes","no",5460,"1255,8"
"1954","krakow","33",2,3,2023,"3,65","0,492","0,92","0,338","0,059","yes","yes","no","no",3300,"759"
"1955","krakow","43",2,1,2023,"3,65","0,492","0,92","0,338","0,059","yes","yes","no","no",3650,"839,5"
"1956","krakow","27",1,NA,2023,"3,65","0,492","0,92","0,338","0,059","yes","no","no","no",2750,"632,5"
"1957","krakow","64,17",3,1,1997,"3,56","0,412","0,83","0,548","0,402","no","yes","no","no",3000,"690"
"1958","krakow","50",2,3,2019,"4,83","0,631","0,558","0,565","0,278","yes","yes","yes","no",2500,"575"
"1959","krakow","85",3,NA,NA,"4,75","0,582","1,63","1,478","0,456","yes","yes","no","no",4300,"989"
"1960","krakow","27",1,4,NA,"1,14","0,217","0,403","0,623","0,055","no","no","yes","no",2600,"598"
"1961","krakow","93",3,1,1930,"1,66","0,08","0,254","0,735","0,223","no","no","no","no",5500,"1265"
"1962","krakow","40",2,1,1930,"0,59","0,095","0,77","0,311","0,167","no","no","no","no",2900,"667"
"1963","krakow","30",2,4,2019,"1,62","0,094","0,22","0,781","0,205","no","no","yes","no",3000,"690"
"1964","krakow","39",2,5,2014,"2,95","0,266","0,71","0,138","0,295","no","yes","yes","no",2800,"644"
"1965","krakow","62",3,2,1960,"2,09","0,371","0,784","0,706","0,662","no","no","no","yes",4000,"920"
"1966","krakow","50",2,2,NA,"1,68","0,063","0,274","0,715","0,243","no","no","no","no",2900,"667"
"1967","krakow","107,04",5,1,1939,"1,77","0,22","0,44","0,749","0,324","no","yes","no","yes",5000,"1150"
"1968","krakow","69,5",3,3,1970,"2,31","0,06","0,301","0,207","0,208","yes","yes","no","no",3550,"816,5"
