"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"109","szczecin",60,2,1,2002,1.65,0.184,0.546,0.237,0.044,"no","yes","yes","no",2400,552
"110","szczecin",43,2,1,2020,3.15,0.355,0.539,0.287,0.23,"yes","no","yes","yes",2950,678.5
"111","szczecin",49,3,7,2020,1.59,0.194,0.237,0.165,0.231,"yes","yes","yes","no",3500,805
"112","szczecin",38.9,2,4,2020,6.05,1.849,3.392,1.801,0.778,"yes","yes","yes","no",2700,621
"113","szczecin",30.5,1,4,2022,1.68,0.262,0.309,0.193,0.154,"no","no","yes","no",2800,644
"114","szczecin",113.35,4,3,2013,0.17,0.13,0.856,0.164,0.485,"no","yes","no","no",5000,1150
"115","szczecin",64,3,1,1950,4.32,0.467,0.179,0.28,0.249,"yes","no","no","no",2590,595.7
"116","szczecin",42,2,4,2005,0.62,0.199,0.36,0.086,0.044,"no","yes","yes","no",2700,621
"117","szczecin",58,2,2,2005,0.62,0.186,0.378,0.098,0.035,"yes","yes","yes","no",2850,655.5
"118","szczecin",55,2,2,2007,0.63,0.2,0.36,0.091,0.045,"yes","yes","yes","no",2850,655.5
"119","szczecin",90,4,4,2005,0.62,0.186,0.378,0.098,0.035,"yes","yes","yes","yes",4200,966
"120","szczecin",58,2,2,2005,0.62,0.188,0.376,0.095,0.034,"yes","yes","yes","no",2850,655.5
"121","szczecin",45,2,3,2005,0.62,0.188,0.376,0.095,0.034,"no","yes","yes","no",2700,621
"122","gdynia",76.08,4,5,2011,4.79,0.168,1.136,0.073,0.428,"no","yes","yes","no",6500,1495
"123","gdynia",83,3,3,2013,2.98,2.763,3.359,2.8,1.971,"no","yes","no","no",4000,920
"124","gdynia",60,3,3,1980,6.3,0.118,2.86,0.16,0.271,"no","yes","no","yes",2900,667
"125","gdynia",38.3,2,1,1960,1.44,0.152,0.448,0.244,0.51,"no","no","no","no",2100,483
"126","gdynia",51,3,11,1980,3.86,3.01,3.141,3.22,2.981,"no","yes","yes","no",2500,575
"127","gdynia",46.5,3,4,1971,4.34,0.391,1.596,0.226,0.595,"no","no","yes","no",1800,414
"128","gdynia",58.3,2,3,2016,0.48,0.507,0.637,0.173,0.099,"no","no","yes","no",4500,1035
"129","gdynia",39.49,2,1,2001,6.97,0.649,3.548,0.521,0.257,"no","yes","no","no",2400,552
"130","gdynia",44.2,2,4,1960,1.03,0.185,0.178,0.189,0.175,"no","yes","no","no",2300,529
"131","gdynia",105,3,2,2009,4.12,0.19,0.924,0.381,0.088,"no","yes","no","no",4500,1035
